"Commodity","Unit","Minimum","Maximum","Average"
"Apple(Fuji)","KG","Rs. 250","Rs. 280","265.00"
"Apple(Jholey)","Kg","Rs. 180","Rs. 200","190.00"
"Asparagus","Kg","Rs. 500","Rs. 600","550.00"
"Bamboo Shoot","Kg","Rs. 90","Rs. 100","95.00"
"Banana","Doz","Rs. 100","Rs. 110","105.00"
"Barela","Kg","Rs. 60","Rs. 70","65.00"
"Bitter Gourd","Kg","Rs. 30","Rs. 40","35.00"
"Bottle Gourd","Kg","Rs. 60","Rs. 70","65.00"
"Brd Leaf Mustard","Kg","Rs. 30","Rs. 40","35.00"
"Brinjal Long","Kg","Rs. 35","Rs. 45","40.00"
"Brinjal Round","Kg","Rs. 45","Rs. 50","47.50"
"Brocauli","Kg","Rs. 90","Rs. 100","95.00"
"Cabbage(Local)","Kg","Rs. 30","Rs. 40","35.00"
"Capsicum","Kg","Rs. 40","Rs. 50","45.00"
"Carrot(Local)","Kg","Rs. 75","Rs. 80","77.50"
"Cauli Local","Kg","Rs. 70","Rs. 80","75.00"
"Chilli Dry","Kg","Rs. 330","Rs. 340","335.00"
"Chilli Green","Kg","Rs. 35","Rs. 40","37.50"
"Chilli Green(Akbare)","KG","Rs. 100","Rs. 120","110.00"
"Chilli Green(Bullet)","KG","Rs. 35","Rs. 40","37.50"
"Chilli Green(Machhe)","KG","Rs. 35","Rs. 40","37.50"
"Christophine","Kg","Rs. 50","Rs. 60","55.00"
"Clive Dry","Kg","Rs. 100","Rs. 120","110.00"
"Coriander Green","Kg","Rs. 50","Rs. 60","55.00"
"Cow pea(Long)","Kg","Rs. 50","Rs. 60","55.00"
"Cress Leaf","Kg","Rs. 60","Rs. 70","65.00"
"Cucumber(Hybrid)","KG","Rs. 30","Rs. 35","32.50"
"Cucumber(Local)","Kg","Rs. 80","Rs. 90","85.00"
"Fennel Leaf","Kg","Rs. 50","Rs. 60","55.00"
"Fenugreek Leaf","Kg","Rs. 60","Rs. 70","65.00"
"Fish Fresh(Bachuwa)","KG","Rs. 225","Rs. 235","230.00"
"Fish Fresh(Chhadi)","KG","Rs. 210","Rs. 220","215.00"
"Fish Fresh(Mungari)","KG","Rs. 240","Rs. 250","245.00"
"Fish Fresh(Rahu)","KG","Rs. 270","Rs. 280","275.00"
"French Bean(Hybrid)","Kg","Rs. 50","Rs. 60","55.00"
"French Bean(Local)","Kg","Rs. 50","Rs. 60","55.00"
"French Bean(Rajma)","Kg","Rs. 90","Rs. 100","95.00"
"Garlic Dry Chinese","Kg","Rs. 180","Rs. 190","185.00"
"Garlic Dry Nepali","Kg","Rs. 100","Rs. 120","110.00"
"Garlic Green","Kg","Rs. 60","Rs. 70","65.00"
"Ginger","Kg","Rs. 70","Rs. 80","75.00"
"Grapes(Green)","Kg","Rs. 230","Rs. 250","240.00"
"Green Peas","Kg","Rs. 150","Rs. 160","155.00"
"Jack Fruit","Kg","Rs. 40","Rs. 50","45.00"
"Knolkhol","Kg","Rs. 80","Rs. 90","85.00"
"Lettuce","Kg","Rs. 60","Rs. 70","65.00"
"Lime","Kg","Rs. 100","Rs. 120","110.00"
"Litchi(Indian)","Kg","Rs. 230","Rs. 250","240.00"
"Litchi(Local)","Kg","Rs. 130","Rs. 150","140.00"
"Mango(Calcutte)","Kg","Rs. 100","Rs. 110","105.00"
"Mango(Dushari)","Kg","Rs. 70","Rs. 80","75.00"
"Mango(Maldah)","Kg","Rs. 70","Rs. 80","75.00"
"Mint","Kg","Rs. 90","Rs. 100","95.00"
"Mushroom(Button)","KG","Rs. 280","Rs. 300","290.00"
"Mushroom(Kanya)","Kg","Rs. 180","Rs. 200","190.00"
"Mustard Leaf","Kg","Rs. 30","Rs. 40","35.00"
"Neuro","Kg","Rs. 70","Rs. 80","75.00"
"Okara","Kg","Rs. 40","Rs. 50","45.00"
"Onion Dry (Indian)","Kg","Rs. 45","Rs. 50","47.50"
"Onion Green","Kg","Rs. 70","Rs. 80","75.00"
"Papaya(Indian)","Kg","Rs. 110","Rs. 120","115.00"
"Pineapple","1 Pc","Rs. 140","Rs. 150","145.00"
"Pointed Gourd(Local)","Kg","Rs. 70","Rs. 80","75.00"
"Pointed Gourd(Terai)","Kg","Rs. 70","Rs. 80","75.00"
"Pomegranate","Kg","Rs. 280","Rs. 300","290.00"
"Potato Red","Kg","Rs. 42","Rs. 45","43.50"
"Potato Red(Indian)","KG","Rs. 30","Rs. 32","31.00"
"Potato Red(Mude)","Kg","Rs. 40","Rs. 45","42.50"
"Potato White","Kg","Rs. 30","Rs. 35","32.50"
"Pumpkin","Kg","Rs. 30","Rs. 35","32.50"
"Raddish White(Hybrid)","Kg","Rs. 10","Rs. 15","12.50"
"Raddish White(Local)","Kg","Rs. 10","Rs. 15","12.50"
"Red Cabbbage","Kg","Rs. 100","Rs. 120","110.00"
"Smooth Gourd","Kg","Rs. 50","Rs. 60","55.00"
"Snake Gourd","Kg","Rs. 30","Rs. 35","32.50"
"Soyabean Green","Kg","Rs. 120","Rs. 150","135.00"
"Spinach Leaf","Kg","Rs. 60","Rs. 70","65.00"
"Squash(Round)","Kg","Rs. 35","Rs. 45","40.00"
"Sugarbeet","Kg","Rs. 70","Rs. 80","75.00"
"Sweet Orange","Kg","Rs. 200","Rs. 220","210.00"
"Sweet Potato","Kg","Rs. 50","Rs. 60","55.00"
"Tamarind","Kg","Rs. 150","Rs. 160","155.00"
"Tofu","Kg","Rs. 90","Rs. 100","95.00"
"Tomato Big(Indian)","Kg","Rs. 40","Rs. 50","45.00"
"Tomato Big(Nepali)","Kg","Rs. 40","Rs. 50","45.00"
"Tomato Small(Local)","Kg","Rs. 10","Rs. 15","12.50"
"Tomato Small(Tunnel)","Kg","Rs. 25","Rs. 35","30.00"
"Turnip A","Kg","Rs. 70","Rs. 80","75.00"
"Water Melon(Green)","Kg","Rs. 30","Rs. 35","32.50"